minX,maxX,minY,maxY,minZ,maxZ
-65.2389,-55.2389,-364.232,-354.232,0,75
-35.2389,-25.2389,-364.232,-354.232,0,69
-25.2389,-15.2389,-364.232,-354.232,0,69
-5.23886,4.76114,-364.232,-354.232,0,212
4.76114,14.7611,-364.232,-354.232,0,212
14.7611,24.7611,-364.232,-354.232,0,212
24.7611,34.7611,-364.232,-354.232,0,105
64.7611,74.7611,-364.232,-354.232,0,81
104.761,114.761,-364.232,-354.232,0,99
114.761,124.761,-364.232,-354.232,0,99
124.761,134.761,-364.232,-354.232,0,99
134.761,144.761,-364.232,-354.232,0,99
184.761,194.761,-364.232,-354.232,0,123
194.761,204.761,-364.232,-354.232,0,123
204.761,214.761,-364.232,-354.232,0,123
234.761,244.761,-364.232,-354.232,0,21
244.761,254.761,-364.232,-354.232,0,21
294.761,304.761,-364.232,-354.232,0,81
304.761,314.761,-364.232,-354.232,0,81
314.761,324.761,-364.232,-354.232,0,81
324.761,334.761,-364.232,-354.232,0,81
364.761,374.761,-364.232,-354.232,0,25
374.761,384.761,-364.232,-354.232,0,25
384.761,394.761,-364.232,-354.232,0,25
394.761,404.761,-364.232,-354.232,0,25
404.761,414.761,-364.232,-354.232,0,25
424.761,434.761,-364.232,-354.232,0,13
434.761,444.761,-364.232,-354.232,0,13
444.761,454.761,-364.232,-354.232,0,13
454.761,464.761,-364.232,-354.232,0,26
484.761,494.761,-364.232,-354.232,0,25
494.761,504.761,-364.232,-354.232,0,25
-165.239,-155.239,-354.232,-344.232,0,58
-155.239,-145.239,-354.232,-344.232,0,58
-145.239,-135.239,-354.232,-344.232,0,58
-135.239,-125.239,-354.232,-344.232,0,58
-125.239,-115.239,-354.232,-344.232,0,58
-115.239,-105.239,-354.232,-344.232,0,28
-105.239,-95.2389,-354.232,-344.232,0,28
-95.2389,-85.2389,-354.232,-344.232,0,75
-85.2389,-75.2389,-354.232,-344.232,0,75
-75.2389,-65.2389,-354.232,-344.232,0,75
-65.2389,-55.2389,-354.232,-344.232,0,75
-35.2389,-25.2389,-354.232,-344.232,0,69
-25.2389,-15.2389,-354.232,-344.232,0,69
-5.23886,4.76114,-354.232,-344.232,0,105
4.76114,14.7611,-354.232,-344.232,0,212
14.7611,24.7611,-354.232,-344.232,0,212
24.7611,34.7611,-354.232,-344.232,0,105
44.7611,54.7611,-354.232,-344.232,0,81
54.7611,64.7611,-354.232,-344.232,0,81
64.7611,74.7611,-354.232,-344.232,0,81
114.761,124.761,-354.232,-344.232,0,99
124.761,134.761,-354.232,-344.232,0,99
134.761,144.761,-354.232,-344.232,0,99
164.761,174.761,-354.232,-344.232,0,123
174.761,184.761,-354.232,-344.232,0,123
184.761,194.761,-354.232,-344.232,0,123
194.761,204.761,-354.232,-344.232,0,123
204.761,214.761,-354.232,-344.232,0,123
234.761,244.761,-354.232,-344.232,0,21
244.761,254.761,-354.232,-344.232,0,21
254.761,264.761,-354.232,-344.232,0,21
264.761,274.761,-354.232,-344.232,0,21
274.761,284.761,-354.232,-344.232,0,21
304.761,314.761,-354.232,-344.232,0,81
314.761,324.761,-354.232,-344.232,0,81
324.761,334.761,-354.232,-344.232,0,81
364.761,374.761,-354.232,-344.232,0,25
374.761,384.761,-354.232,-344.232,0,25
384.761,394.761,-354.232,-344.232,0,25
394.761,404.761,-354.232,-344.232,0,25
404.761,414.761,-354.232,-344.232,0,25
424.761,434.761,-354.232,-344.232,0,13
434.761,444.761,-354.232,-344.232,0,13
-165.239,-155.239,-344.232,-334.232,0,58
-155.239,-145.239,-344.232,-334.232,0,58
-125.239,-115.239,-344.232,-334.232,0,58
-105.239,-95.2389,-344.232,-334.232,0,28
-95.2389,-85.2389,-344.232,-334.232,0,75
-85.2389,-75.2389,-344.232,-334.232,0,75
-75.2389,-65.2389,-344.232,-334.232,0,75
